accountage,monthlycharges,totalcharges,subscriptiontype,paymentmethod,paperlessbilling,contenttype,multideviceaccess,deviceregistered,viewinghoursperweek,averageviewingduration,contentdownloadspermonth,genrepreference,userrating,supportticketspermonth,gender,watchlistsize,parentalcontrol,subtitlesenabled
19,19.2528852,365.8048188,Premium,Mailed check,Yes,TV Shows,Yes,TV,16.70065199,14.28779907,7,Drama,1.908876833,3,Female,1,Yes,Yes
116,14.6136811,1695.187007,Basic,Bank transfer,No,TV Shows,No,TV,12.94431899,142.382919,28,Sci-Fi,1.577468265,2,Male,2,Yes,No
6,13.88916984,83.33501906,Premium,Mailed check,No,TV Shows,Yes,Computer,24.7275284,16.92150528,0,Comedy,3.816025623,8,Male,18,No,No
13,7.413640626,96.37732813,Standard,Bank transfer,No,Movies,No,Mobile,35.40079159,48.25198332,32,Action,3.46573363,0,Female,9,Yes,No
60,14.19130701,851.4784205,Premium,Bank transfer,Yes,Both,Yes,Computer,23.97035144,79.09917744,27,Fantasy,4.830271236,2,Male,15,No,Yes
33,16.66149894,549.8294651,Premium,Credit card,No,Movies,No,Tablet,38.24934923,41.23123465,41,Sci-Fi,4.602788789,2,Female,12,No,No
105,15.59375823,1637.344614,Premium,Bank transfer,No,Both,No,Mobile,24.49078251,141.0021308,16,Action,2.067382547,5,Male,5,Yes,No
105,19.30457145,2026.980003,Standard,Electronic check,No,TV Shows,No,Computer,7.546867135,179.8605366,17,Drama,3.513826091,8,Male,9,Yes,Yes
107,6.051176667,647.4759033,Standard,Electronic check,No,Both,No,Computer,38.09003078,28.50726972,11,Drama,4.818286817,5,Female,14,Yes,No
13,9.749932353,126.7491206,Standard,Credit card,No,Both,No,TV,38.79534741,34.52190281,47,Fantasy,3.314744091,9,Female,5,No,No
55,13.18481419,725.1647806,Standard,Credit card,Yes,Movies,Yes,TV,16.64775299,70.26233366,48,Drama,3.210581993,4,Female,13,Yes,No
59,14.75359858,870.4623163,Standard,Credit card,Yes,Movies,No,Tablet,38.30850095,51.23766053,9,Action,2.885437627,5,Female,6,Yes,Yes
34,19.96954509,678.9645331,Standard,Electronic check,No,TV Shows,Yes,Computer,4.973713675,27.40584174,34,Comedy,2.779355355,7,Female,17,Yes,No
21,15.96166542,335.1949739,Premium,Bank transfer,Yes,Movies,Yes,TV,11.54055657,93.23038178,46,Drama,1.829448896,3,Male,7,No,Yes
